"User","freq_type","mone_type","rec_type","Cluster","value"
765,1,2,1,5,27
766,2,3,2,3,44
767,2,3,3,2,49
768,2,1,1,4,19
769,2,2,2,4,34
770,3,3,2,1,46
771,1,1,1,5,17
772,1,1,1,4,17
774,1,1,1,5,17
775,1,1,1,5,17
776,2,2,1,4,29
777,2,2,1,4,29
779,3,3,2,3,46
780,1,1,2,2,22
781,2,1,3,2,29
782,3,2,1,3,31
783,2,3,1,4,39
784,2,2,3,3,39
785,1,2,2,4,32
786,3,3,1,3,41
788,2,2,3,3,39
789,2,1,2,2,24
790,2,2,2,2,34
791,2,3,3,3,49
792,2,2,2,2,34
793,2,3,2,3,44
794,3,2,3,1,41
795,2,3,1,4,39
797,2,2,3,2,39
798,1,2,1,4,27
799,2,2,3,2,39
800,2,3,3,3,49
801,3,3,3,1,51
802,2,2,1,5,29
803,3,3,3,1,51
805,3,3,3,1,51
806,3,2,3,1,41
807,2,1,1,4,19
808,2,3,2,3,44
809,2,1,3,2,29
810,2,2,2,2,34
811,2,3,2,3,44
813,3,3,1,3,41
814,3,3,3,1,51
815,1,1,3,2,27
816,2,1,1,4,19
817,2,2,3,3,39
819,2,2,3,3,39
820,2,2,1,4,29
821,1,1,2,2,22
822,2,2,1,4,29
824,2,2,3,2,39
825,1,1,1,5,17
826,2,2,3,2,39
827,2,2,1,4,29
828,2,2,1,4,29
829,3,2,3,1,41
831,1,1,2,4,22
832,2,2,3,3,39
833,2,2,1,4,29
835,1,1,3,2,27
837,2,2,1,3,29
838,2,3,2,3,44
839,2,2,1,3,29
840,2,3,3,2,49
841,2,1,2,2,24
842,2,1,1,4,19
843,2,3,3,2,49
844,1,2,1,4,27
845,2,3,1,3,39
846,3,3,2,1,46
847,1,1,1,5,17
848,3,3,2,1,46
849,2,3,2,2,44
850,1,1,3,2,27
851,2,2,1,5,29
852,2,2,1,4,29
854,2,2,3,3,39
855,2,3,2,3,44
857,1,2,1,5,27
859,2,2,3,2,39
860,1,1,1,5,17
862,2,1,3,2,29
863,1,1,1,5,17
864,3,3,2,1,46
865,3,3,3,1,51
866,2,1,3,2,29
867,2,2,3,2,39
868,3,2,2,1,36
869,2,2,1,4,29
871,2,1,3,2,29
872,1,2,1,5,27
873,1,2,1,4,27
875,2,1,3,2,29
876,2,2,2,4,34
877,2,2,1,4,29
878,1,1,1,5,17
879,2,3,2,2,44
880,1,1,1,4,17
881,1,2,1,4,27
882,2,3,1,3,39
883,1,1,2,2,22
884,2,2,2,2,34
885,2,1,3,2,29
886,2,3,2,3,44
887,2,2,3,2,39
